Comment,Designator,Footprint,JLCPCB Part #,Remplacement
10u ,"C201, C310, C502, C503",C0402_1005Metric,C15525,
100n ,"C202, C304, C306, C307, C308, C309, C501, C504, C604, C605, C606, C607, C609, C610, C611, C614, C617",C0402_1005Metric,C361203 ,
1n ,"C203, C312",C0402_1005Metric,C92841,
470p ,C301,C0402_1005Metric,C147529,
1u ,"C302, C615",C0402_1005Metric,C113791,
20p ,"C303, C305",C0402_1005Metric,C107000,
22u ,"C505, C506",C0603_1608Metric,C59461,
10n ,"C601, C608, C612, C616",C0402_1005Metric,C576726,
2u2 ,"C602, C603, C613, C618",C0402_1005Metric,C12530 ,
BAT60JFILM ,"D501, D502",D_SOD-323,C3975190,
LED ,"D601, D602, D603",D_0402_1005Metric,C510301,red
LED ,"D503, D504, D505",D_0402_1005Metric,C397046,white
FerriteBead_Small ,FB301,L_0402_1005Metric,C76883 ,
USB_A ,J201,USB_A_Femelle,C42576,
RJ45 ,J301,HC-RJ45-5JAS-1-5-01,C20417896,
USB_C_Receptacle ,J401,USB_C_femelle_12P,C136423,
Conn_ST_STDC14 ,J601,PinHeader_2x07_P1.27mm_Vertical_SMD,C3975190,
2u2 ,L501,L_1206_3216Metric,C139249,
249k,R201,R0402_1005Metric,C409682,249k
10k ,"R202, R501, R502",R0402_1005Metric,C25744,
1k ,R203,R0402_1005Metric,C102748,
33,"R301, R302, R303, R305",R0402_1005Metric,C138002,
1k5 ,"R304, R606, R608, R610",R0402_1005Metric,C114759,
10k ,"R306, R307, R308, R309, R310, R321, R601, R602, R603, R604, R605, R607, R609",R0402_1005Metric,C25744,
"49,9","R311, R313, R314, R315",R0402_1005Metric,C87044,
12k1 ,R312,R0402_1005Metric,C3015830,
75,"R316, R317, R318, R319",R0402_1005Metric,C323700,
270,"R320, R322",R0402_1005Metric,C11429,
5.1k ,"R401, R402",R0402_1005Metric,C25905,
33k,R503,R0402_1005Metric,C162863,
820,R504,R0402_1005Metric,C103166,820
2k3 ,"R505, R506",R0402_1005Metric,C100323,
boot ,SW601,SW_SPST_B3U-3000P,C963349,
SW_Push ,SW602,SW_SPST_B3U-3000P,C963349,
SW_Push ,"SW603, SW604, SW605",SW_Push_1P1T_NO_6x6mm_H9.5mm,C5127964,
NCV7329 ,U201,NCV7329,C194435,TJA1029T/20/1J 
LAN8742A ,U301,VQFN-24-1EP_4x4mm_P0.5mm_EP2.5x2.5mm_ThermalVias,C621424,
CND-tek B1601S ,U302,CND-Tek B1601S,C510548,
USBLC6-2SC6 ,U401,SOT-23-6,C2827654,
TDPOWER TAS12-5-W2 ,U501,TD POWER TAS12-5-W2,C5354760,
TPS563201 ,U502,TPS563201,C116592,
STM32F407VETx ,U601,LQFP-100_14x14mm_P0.5mm,C28730,
Crystal_GND24 ,Y301,Crystal_SMD_3225-4Pin_3.2x2.5mm,C390804,
Conn_01x03 ,e501,"PhoenixContact_MC1,5_3-G-5.08_1x03_P5.08mm_Horizontal",C8377,
