"Comment","Designator","Footprint","JLCPCB Part #","LCSC"
"10u ","C201, C310, C502, C503","C0402_1005Metric",""
"100n ","C202, C304, C306, C307, C308, C309, C501, C504, C604, C605, C606, C607, C609, C610, C611, C614, C617","C0402_1005Metric",""
"1n ","C203, C312","C0402_1005Metric",""
"470p ","C301","C0402_1005Metric",""
"1u ","C302, C615","C0402_1005Metric",""
"20p ","C303, C305","C0402_1005Metric",""
"22u ","C505, C506","C0603_1608Metric",""
"10n ","C601, C608, C612, C616","C0402_1005Metric",""
"2u2 ","C602, C603, C613, C618","C0402_1005Metric",""
"BAT60JFILM ","D501, D502","D_SOD-323",""
"LED ","D503, D504, D505, D601, D602, D603","D_0402_1005Metric",""
"FerriteBead_Small ","FB301","L_0402_1005Metric",""
"USB_A ","J201","USB_A_Femelle",""
"RJ45 ","J301","HC-RJ45-5JAS-1-5-01",""
"USB_C_Receptacle ","J401","USB_C_femelle_12P",""
"Conn_ST_STDC14 ","J601","PinHeader_2x07_P1.27mm_Vertical_SMD",""
"2u2 ","L501","L_1206_3216Metric",""
"250k ","R201","R0402_1005Metric",""
"10k ","R202, R501, R502","R0402_1005Metric",""
"1k ","R203","R0402_1005Metric",""
"33 ","R301, R302, R303, R305","R0402_1005Metric",""
"1k5 ","R304, R606, R608, R610","R0402_1005Metric",""
"10k ","R306, R307, R308, R309, R310, R321, R601, R602, R603, R604, R605, R607, R609","R0402_1005Metric",""
"50 ","R311, R313, R314, R315","R0402_1005Metric",""
"12k1 ","R312","R0402_1005Metric",""
"75 ","R316, R317, R318, R319","R0402_1005Metric",""
"270 ","R320, R322","R0402_1005Metric",""
"5.1k ","R401, R402","R0402_1005Metric",""
"33k2 ","R503","R0402_1005Metric",""
"800 ","R504","R0402_1005Metric",""
"2k3 ","R505, R506","R0402_1005Metric",""
"boot ","SW601","SW_SPST_B3U-3000P",""
"SW_Push ","SW602","SW_SPST_B3U-3000P",""
"SW_Push ","SW603, SW604, SW605","SW_Push_1P1T_NO_6x6mm_H9.5mm",""
"NCV7329 ","U201","NCV7329",""
"LAN8742A ","U301","VQFN-24-1EP_4x4mm_P0.5mm_EP2.5x2.5mm_ThermalVias",""
"CND-tek B1601S ","U302","CND-Tek B1601S",""
"USBLC6-2SC6 ","U401","SOT-23-6",""
"TDPOWER TAS12-5-W2 ","U501","TD POWER TAS12-5-W2",""
"TPS563201 ","U502","TPS563201",""
"STM32F407VETx ","U601","LQFP-100_14x14mm_P0.5mm",""
"Crystal_GND24 ","Y301","Crystal_SMD_3225-4Pin_3.2x2.5mm",""
"Conn_01x03 ","e501","PhoenixContact_MC1,5_3-G-5.08_1x03_P5.08mm_Horizontal",""
